,lastPrice,tick_volume,bidPrice1,askPrice1,bidPrice1_change,askPrice1_change,bidVolume1,askVolume1,bid_vol_change,ask_vol_change,buy_tick_volume,sell_tick_volume,buy_minus_sell_volume,updateTime
24331,50300.0,2.0,50300.0,50310.0,0.0,0.0,27.0,37.0,-1.0,-1.0,0.0,2.0,-2.0,09:44:39
24332,50300.0,0.0,50300.0,50310.0,0.0,0.0,27.0,38.0,0.0,1.0,0.0,-0.0,0.0,09:44:39
24333,50300.0,0.0,50300.0,50310.0,0.0,0.0,27.0,39.0,0.0,1.0,0.0,-0.0,0.0,09:44:40
24334,50300.0,0.0,50300.0,50310.0,0.0,0.0,27.0,40.0,0.0,1.0,0.0,-0.0,0.0,09:44:40
24335,50310.0,4.0,50300.0,50310.0,0.0,0.0,27.0,43.0,0.0,3.0,4.0,-0.0,4.0,09:44:41
24336,50310.0,0.0,50300.0,50310.0,0.0,0.0,27.0,48.0,0.0,5.0,0.0,-0.0,0.0,09:44:41
24337,50310.0,0.0,50300.0,50310.0,0.0,0.0,27.0,49.0,0.0,1.0,0.0,-0.0,0.0,09:44:42
24338,50300.0,54.0,50290.0,50300.0,-1.0,-1.0,27.0,13.0,0.0,0.0,0.0,54.0,-54.0,09:44:44
24339,50290.0,40.0,50280.0,50300.0,-1.0,0.0,24.0,22.0,0.0,9.0,0.0,40.0,-40.0,09:44:44
24340,50290.0,0.0,50280.0,50290.0,0.0,-1.0,27.0,2.0,3.0,0.0,0.0,-0.0,0.0,09:44:45
24341,50290.0,28.0,50290.0,50300.0,1.0,1.0,6.0,31.0,0.0,0.0,28.0,0.0,28.0,09:44:45
24342,50290.0,0.0,50290.0,50300.0,0.0,0.0,12.0,28.0,6.0,-3.0,0.0,-0.0,0.0,09:44:46
24343,50290.0,2.0,50290.0,50300.0,0.0,0.0,11.0,28.0,-1.0,0.0,0.0,2.0,-2.0,09:44:46
24344,50290.0,0.0,50290.0,50300.0,0.0,0.0,12.0,28.0,1.0,0.0,0.0,-0.0,0.0,09:44:47
24345,50290.0,2.0,50290.0,50300.0,0.0,0.0,11.0,25.0,-1.0,-3.0,0.0,2.0,-2.0,09:44:48
24346,50290.0,0.0,50290.0,50300.0,0.0,0.0,11.0,28.0,0.0,3.0,0.0,-0.0,0.0,09:44:48
24347,50290.0,0.0,50290.0,50300.0,0.0,0.0,12.0,28.0,1.0,0.0,0.0,-0.0,0.0,09:44:49
24348,50290.0,0.0,50290.0,50300.0,0.0,0.0,12.0,28.0,0.0,0.0,0.0,-0.0,0.0,09:44:49
24349,50300.0,4.0,50290.0,50300.0,0.0,0.0,12.0,27.0,0.0,-1.0,4.0,-0.0,4.0,09:44:50
24350,50300.0,0.0,50290.0,50300.0,0.0,0.0,12.0,19.0,0.0,-8.0,0.0,-0.0,0.0,09:44:50
24351,50300.0,0.0,50290.0,50300.0,0.0,0.0,16.0,21.0,4.0,2.0,0.0,-0.0,0.0,09:44:51
24352,50300.0,0.0,50290.0,50300.0,0.0,0.0,17.0,22.0,1.0,1.0,0.0,-0.0,0.0,09:44:51
24353,50300.0,0.0,50290.0,50300.0,0.0,0.0,17.0,16.0,0.0,-6.0,0.0,-0.0,0.0,09:44:52
24354,50300.0,0.0,50290.0,50300.0,0.0,0.0,20.0,14.0,3.0,-2.0,0.0,-0.0,0.0,09:44:52
24355,50300.0,0.0,50290.0,50300.0,0.0,0.0,22.0,14.0,2.0,0.0,0.0,-0.0,0.0,09:44:53
24356,50300.0,0.0,50290.0,50300.0,0.0,0.0,32.0,14.0,10.0,0.0,0.0,-0.0,0.0,09:44:54
24357,50300.0,0.0,50290.0,50300.0,0.0,0.0,39.0,14.0,7.0,0.0,0.0,-0.0,0.0,09:44:54
24358,50300.0,0.0,50290.0,50300.0,0.0,0.0,40.0,14.0,1.0,0.0,0.0,-0.0,0.0,09:44:55
24359,50300.0,0.0,50290.0,50300.0,0.0,0.0,30.0,14.0,-10.0,0.0,0.0,-0.0,0.0,09:44:55
24360,50300.0,0.0,50290.0,50300.0,0.0,0.0,30.0,17.0,0.0,3.0,0.0,-0.0,0.0,09:44:56
24361,50300.0,6.0,50290.0,50300.0,0.0,0.0,30.0,20.0,0.0,3.0,6.0,-0.0,6.0,09:44:56
24362,50300.0,0.0,50290.0,50300.0,0.0,0.0,30.0,21.0,0.0,1.0,0.0,-0.0,0.0,09:44:57
24363,50300.0,4.0,50290.0,50300.0,0.0,0.0,35.0,19.0,5.0,-2.0,4.0,-0.0,4.0,09:44:57
24364,50300.0,0.0,50290.0,50300.0,0.0,0.0,39.0,10.0,4.0,-9.0,0.0,-0.0,0.0,09:44:58
24365,50300.0,2.0,50290.0,50300.0,0.0,0.0,39.0,9.0,0.0,-1.0,2.0,-0.0,2.0,09:44:58
24366,50300.0,2.0,50290.0,50300.0,0.0,0.0,44.0,8.0,5.0,-1.0,2.0,-0.0,2.0,09:44:59
24367,50300.0,6.0,50290.0,50300.0,0.0,0.0,44.0,6.0,0.0,-2.0,6.0,-0.0,6.0,09:44:59
24368,50300.0,0.0,50290.0,50300.0,0.0,0.0,44.0,7.0,0.0,1.0,0.0,-0.0,0.0,09:45:00
24369,50300.0,34.0,50300.0,50310.0,1.0,1.0,5.0,62.0,0.0,0.0,34.0,0.0,34.0,09:45:00
24370,50310.0,2.0,50300.0,50310.0,0.0,0.0,9.0,63.0,4.0,1.0,2.0,-0.0,2.0,09:45:01
24371,50310.0,2.0,50300.0,50310.0,0.0,0.0,14.0,59.0,5.0,-4.0,2.0,-0.0,2.0,09:45:01
24372,50310.0,0.0,50300.0,50310.0,0.0,0.0,15.0,55.0,1.0,-4.0,0.0,-0.0,0.0,09:45:02
24373,50310.0,2.0,50300.0,50310.0,0.0,0.0,17.0,54.0,2.0,-1.0,2.0,-0.0,2.0,09:45:02
24374,50310.0,0.0,50300.0,50310.0,0.0,0.0,20.0,54.0,3.0,0.0,0.0,-0.0,0.0,09:45:03
24375,50310.0,2.0,50300.0,50310.0,0.0,0.0,20.0,57.0,0.0,3.0,2.0,-0.0,2.0,09:45:03
24376,50310.0,0.0,50300.0,50310.0,0.0,0.0,19.0,57.0,-1.0,0.0,0.0,-0.0,0.0,09:45:04
24377,50300.0,24.0,50300.0,50310.0,0.0,0.0,17.0,47.0,-2.0,-10.0,20.0,4.0,16.0,09:45:04
24378,50300.0,0.0,50300.0,50310.0,0.0,0.0,18.0,43.0,1.0,-4.0,0.0,-0.0,0.0,09:45:05
24379,50300.0,0.0,50300.0,50310.0,0.0,0.0,18.0,42.0,0.0,-1.0,0.0,-0.0,0.0,09:45:05
24380,50300.0,8.0,50300.0,50310.0,0.0,0.0,14.0,41.0,-4.0,-1.0,0.0,8.0,-8.0,09:45:06
24381,50310.0,2.0,50300.0,50310.0,0.0,0.0,15.0,42.0,1.0,1.0,2.0,-0.0,2.0,09:45:06
24382,50300.0,20.0,50300.0,50310.0,0.0,0.0,5.0,42.0,-10.0,0.0,0.0,20.0,-20.0,09:45:07
24383,50290.0,12.0,50290.0,50300.0,-1.0,-1.0,39.0,8.0,0.0,0.0,0.0,12.0,-12.0,09:45:08
24384,50290.0,2.0,50290.0,50300.0,0.0,0.0,38.0,13.0,-1.0,5.0,0.0,2.0,-2.0,09:45:08
24385,50290.0,0.0,50290.0,50300.0,0.0,0.0,38.0,22.0,0.0,9.0,0.0,-0.0,0.0,09:45:09
24386,50300.0,2.0,50290.0,50300.0,0.0,0.0,38.0,21.0,0.0,-1.0,2.0,-0.0,2.0,09:45:09
24387,50300.0,0.0,50290.0,50300.0,0.0,0.0,38.0,39.0,0.0,18.0,0.0,-0.0,0.0,09:45:10
24388,50300.0,6.0,50290.0,50300.0,0.0,0.0,34.0,39.0,-4.0,0.0,6.0,-0.0,6.0,09:45:10
24389,50300.0,0.0,50290.0,50300.0,0.0,0.0,39.0,39.0,5.0,0.0,0.0,-0.0,0.0,09:45:11
24390,50300.0,0.0,50290.0,50300.0,0.0,0.0,40.0,43.0,1.0,4.0,0.0,-0.0,0.0,09:45:14
24391,50300.0,42.0,50290.0,50300.0,0.0,0.0,40.0,23.0,0.0,-20.0,42.0,-0.0,42.0,09:45:14
24392,50300.0,0.0,50290.0,50300.0,0.0,0.0,42.0,21.0,2.0,-2.0,0.0,-0.0,0.0,09:45:15
24393,50290.0,42.0,50290.0,50300.0,0.0,0.0,22.0,20.0,-20.0,-1.0,2.0,40.0,-38.0,09:45:15
24394,50290.0,0.0,50290.0,50300.0,0.0,0.0,20.0,29.0,-2.0,9.0,0.0,-0.0,0.0,09:45:16
24395,50290.0,2.0,50290.0,50300.0,0.0,0.0,15.0,29.0,-5.0,0.0,0.0,2.0,-2.0,09:45:16
24396,50290.0,0.0,50290.0,50300.0,0.0,0.0,15.0,29.0,0.0,0.0,0.0,-0.0,0.0,09:45:17
24397,50290.0,0.0,50290.0,50300.0,0.0,0.0,16.0,30.0,1.0,1.0,0.0,-0.0,0.0,09:45:17
24398,50290.0,0.0,50290.0,50300.0,0.0,0.0,17.0,30.0,1.0,0.0,0.0,-0.0,0.0,09:45:18
24399,50300.0,2.0,50290.0,50300.0,0.0,0.0,19.0,26.0,2.0,-4.0,2.0,-0.0,2.0,09:45:18
24400,50300.0,0.0,50290.0,50300.0,0.0,0.0,19.0,21.0,0.0,-5.0,0.0,-0.0,0.0,09:45:19
24401,50300.0,0.0,50290.0,50300.0,0.0,0.0,23.0,21.0,4.0,0.0,0.0,-0.0,0.0,09:45:19
24402,50290.0,30.0,50290.0,50300.0,0.0,0.0,8.0,28.0,-15.0,7.0,0.0,30.0,-30.0,09:45:20
24403,50290.0,0.0,50290.0,50300.0,0.0,0.0,3.0,32.0,-5.0,4.0,0.0,-0.0,0.0,09:45:20
24404,50290.0,12.0,50280.0,50300.0,-1.0,0.0,35.0,32.0,0.0,0.0,0.0,12.0,-12.0,09:45:21
24405,50290.0,0.0,50290.0,50300.0,1.0,0.0,4.0,32.0,0.0,0.0,0.0,-0.0,0.0,09:45:21
24406,50290.0,0.0,50290.0,50300.0,0.0,0.0,4.0,32.0,0.0,0.0,0.0,-0.0,0.0,09:45:22
24407,50290.0,0.0,50290.0,50300.0,0.0,0.0,8.0,32.0,4.0,0.0,0.0,-0.0,0.0,09:45:22
