,lastPrice,tick_volume,bidPrice1,askPrice1,bidPrice1_change,askPrice1_change,bidVolume1,askVolume1,bid_vol_change,ask_vol_change,buy_tick_volume,sell_tick_volume,buy_minus_sell_volume,updateTime,1min sum(N),2min sum(N),,
10092,11835,6,11835,11840,0,0,51,55,3,-1,0,6,-6,22:25:58,80,30,-452,-256
10093,11835,10,11835,11840,0,0,54,56,3,1,0,10,-10,22:25:59,80,30,-438,-242
10094,11835,52,11835,11840,0,0,50,51,-4,-5,10,42,-32,22:25:59,80,56,-458,-230.8
10095,11840,24,11835,11840,0,0,57,51,7,0,12,12,0,22:26:00,44,46,-466,-322.8
10096,11835,4,11835,11840,0,0,57,49,0,-2,0,4,-4,22:26:00,12,50,-508,-424
10097,11835,12,11835,11840,0,0,56,45,-1,-4,8,4,4,22:26:01,14,52,-334,-243.6
10098,11840,10,11835,11840,0,0,56,42,0,-3,6,4,2,22:26:01,18,86,-388,-248.8
10099,11835,48,11835,11840,0,0,56,21,0,-21,44,4,40,22:26:02,138,96,-378,13.2
10100,11840,50,11835,11840,0,0,44,18,-12,-3,22,28,-6,22:26:02,160,108,-380,69.6
10101,11840,22,11835,11840,0,0,51,61,7,43,22,0,22,22:26:03,208,174,-338,286.8
10102,11840,32,11835,11840,0,0,50,33,-1,-28,30,2,28,22:26:03,198,190,-296,328
10103,11840,10,11835,11840,0,0,52,28,2,-5,10,0,10,22:26:04,226,214,-276,432.8
10104,11840,68,11840,11845,1,1,56,80,0,0,68,0,68,22:26:04,252,244,-254,542.8
10105,11840,30,11840,11845,0,0,87,65,31,-15,26,4,22,22:26:05,258,266,-258,577.2
10106,11840,134,11840,11845,0,0,17,64,-70,-1,0,134,-134,22:26:05,326,370,-168,928
10107,11840,64,11835,11840,-1,-1,67,38,0,0,0,64,-64,22:26:06,376,352,-182,992.4
10108,11840,24,11835,11840,0,0,68,26,1,-12,24,0,24,22:26:06,256,220,-196,580
10109,11840,52,11840,11845,1,1,10,66,0,0,52,0,52,22:26:07,176,154,-284,252.8
10110,11840,50,11835,11840,-1,-1,74,12,0,0,0,50,-50,22:26:07,206,172,-220,398.4
10111,11845,62,11840,11845,1,1,9,60,0,0,62,0,62,22:26:08,292,212,-126,712.4
10112,11845,32,11840,11845,0,0,33,70,24,10,32,0,32,22:26:08,258,164,-184,528.8
10113,11840,32,11840,11845,0,0,37,38,4,-32,8,24,-16,22:26:09,340,226,-134,817.2
10114,11845,48,11840,11845,0,0,46,15,9,-23,48,0,48,22:26:09,444,262,-68,1134.4
10115,11845,40,11845,11850,1,1,9,118,0,0,40,0,40,22:26:10,454,260,-232,988
10116,11840,66,11840,11845,-1,-1,59,44,0,0,0,66,-66,22:26:10,500,308,-188,1181.6
10117,11840,10,11840,11845,0,0,62,42,3,-2,6,4,2,22:26:11,542,362,-70,1448.4
10118,11845,102,11845,11850,1,1,73,125,0,0,102,0,102,22:26:11,484,298,-70,1255.6
10119,11845,34,11845,11850,0,0,67,107,-6,-18,20,14,6,22:26:12,494,260,-76,1224
10120,11850,16,11845,11850,0,0,75,101,8,-6,12,4,8,22:26:12,608,350,40,1676
10121,11850,74,11845,11850,0,0,77,67,2,-34,70,4,66,22:26:13,614,462,80,1862.4
10122,11850,58,11845,11850,0,0,80,42,3,-25,58,0,58,22:26:13,598,492,150,1936.4
10123,11850,98,11845,11850,0,0,72,5,-8,-37,76,22,54,22:26:14,552,560,176,1952
10124,11850,16,11850,11855,1,1,81,70,0,0,16,0,16,22:26:14,640,618,214,2235.6
10125,11850,30,11850,11855,0,0,268,66,187,-4,6,24,-18,22:26:15,692,636,246,2393.2
10126,11855,156,11855,11860,1,1,26,106,0,0,156,0,156,22:26:15,708,656,262,2465.2
10127,11855,124,11850,11855,-1,-1,281,8,0,0,0,124,-124,22:26:16,690,636,308,2451.2
10128,11850,34,11850,11855,0,0,284,1,3,-7,32,2,30,22:26:16,860,780,520,3176
10129,11855,26,11855,11860,1,1,6,108,0,0,26,0,26,22:26:17,742,650,416,2680
10130,11855,80,11850,11855,-1,-1,289,4,0,0,0,80,-80,22:26:17,896,718,454,3107.6
10131,11855,40,11850,11855,0,0,289,5,0,1,40,0,40,22:26:18,952,762,486,3304.4
10132,11855,36,11850,11855,0,0,291,25,2,20,34,2,32,22:26:18,862,742,408,3022.4
10133,11855,96,11855,11860,1,1,3,114,0,0,96,0,96,22:26:19,892,838,302,3091.6
10134,11855,112,11855,11860,0,0,18,60,15,-54,72,40,32,22:26:19,904,880,496,3360
10135,11855,24,11855,11860,0,0,82,50,64,-10,22,2,20,22:26:20,986,986,618,3773.2
10136,11860,94,11855,11860,0,0,90,7,8,-43,86,8,78,22:26:20,1016,1014,668,3916.8
10137,11860,64,11860,11865,1,1,17,53,0,0,64,0,64,22:26:21,1034,1020,618,3910
10138,11865,18,11860,11865,0,0,21,54,4,1,8,10,-2,22:26:21,1112,1094,694,4230.8
10139,11860,92,11860,11865,0,0,16,20,-5,-34,74,18,56,22:26:22,1178,1156,722,4465.2
10140,11865,40,11860,11865,0,0,34,13,18,-7,36,4,32,22:26:22,1186,1158,744,4505.6
10141,11865,38,11865,11870,1,1,69,76,0,0,38,0,38,22:26:23,1256,1286,814,4869.2
10142,11870,98,11865,11870,0,0,80,42,11,-34,76,22,54,22:26:23,1286,1332,934,5104.4
10143,11865,70,11865,11870,0,0,89,13,9,-29,50,20,30,22:26:24,1326,1372,1032,5330.4
10144,11865,70,11865,11875,0,1,93,42,4,0,40,30,10,22:26:24,1378,1428,1130,5599.6
10145,11870,30,11870,11875,1,0,4,68,0,26,13,17,-4,22:26:25,1402,1444,1168,5704.8
10146,11870,28,11865,11870,-1,-1,93,25,0,0,0,28,-28,22:26:25,1414,1456,1192,5767.2
10147,11870,56,11865,11870,0,0,94,12,1,-13,54,2,52,22:26:26,1412,1462,1198,5776.4
10148,11875,154,11870,11875,1,1,7,26,0,0,154,0,154,22:26:26,1384,1428,1020,5501.6
