,bidPrice1,bidVolume1,bid_vol_change,buy_tick_volume,askPrice1,askVolume1,ask_vol_change,sell_tick_volume,tick_volume,buy_minus_sell_volume,updateTime
20221,51040.0,23.0,0.0,0.0,51050.0,23.0,0.0,-0.0,0.0,0.0,00:17:41
20222,51040.0,5.0,-18.0,0.0,51050.0,19.0,-4.0,42.0,42.0,-42.0,00:17:41
20223,51030.0,37.0,0.0,0.0,51040.0,16.0,0.0,26.0,26.0,-26.0,00:17:42
20224,51030.0,34.0,-3.0,0.0,51040.0,16.0,0.0,-0.0,0.0,0.0,00:17:42
20225,51030.0,34.0,0.0,0.0,51040.0,16.0,0.0,-0.0,0.0,0.0,00:17:43
20226,51030.0,34.0,0.0,0.0,51040.0,16.0,0.0,-0.0,0.0,0.0,00:17:43
20227,51030.0,34.0,0.0,0.0,51040.0,20.0,4.0,-0.0,0.0,0.0,00:17:44
20228,51030.0,36.0,2.0,0.0,51040.0,20.0,0.0,-0.0,0.0,0.0,00:17:44
20229,51030.0,36.0,0.0,0.0,51040.0,20.0,0.0,-0.0,0.0,0.0,00:17:45
20230,51030.0,40.0,4.0,0.0,51040.0,35.0,15.0,-0.0,0.0,0.0,00:17:46
20231,51030.0,40.0,0.0,0.0,51040.0,35.0,0.0,-0.0,0.0,0.0,00:17:46
20232,51030.0,40.0,0.0,2.0,51040.0,34.0,-1.0,-0.0,2.0,2.0,00:17:47
20233,51030.0,41.0,1.0,0.0,51040.0,34.0,0.0,-0.0,0.0,0.0,00:17:47
20234,51030.0,42.0,1.0,0.0,51040.0,34.0,0.0,-0.0,0.0,0.0,00:17:48
20235,51030.0,45.0,3.0,0.0,51040.0,34.0,0.0,-0.0,0.0,0.0,00:17:51
20236,51030.0,44.0,-1.0,0.0,51040.0,37.0,3.0,-0.0,0.0,0.0,00:17:51
20237,51030.0,45.0,1.0,0.0,51040.0,37.0,0.0,-0.0,0.0,0.0,00:17:52
20238,51030.0,45.0,0.0,0.0,51040.0,37.0,0.0,-0.0,0.0,0.0,00:17:53
20239,51030.0,45.0,0.0,0.0,51040.0,37.0,0.0,-0.0,0.0,0.0,00:17:53
20240,51030.0,15.0,-30.0,0.0,51040.0,37.0,0.0,60.0,60.0,-60.0,00:17:54
20241,51030.0,14.0,-1.0,0.0,51040.0,38.0,1.0,-0.0,0.0,0.0,00:17:55
20242,51030.0,14.0,0.0,0.0,51040.0,39.0,1.0,-0.0,0.0,0.0,00:17:55
20243,51030.0,14.0,0.0,0.0,51040.0,38.0,-1.0,-0.0,0.0,0.0,00:17:56
20244,51020.0,81.0,0.0,0.0,51030.0,16.0,0.0,28.0,28.0,-28.0,00:17:58
20245,51020.0,65.0,-16.0,33.0,51040.0,32.0,0.0,43.0,76.0,-10.0,00:17:58
20246,51030.0,1.0,0.0,0.0,51040.0,35.0,3.0,-0.0,0.0,0.0,00:17:59
20247,51030.0,2.0,1.0,0.0,51040.0,35.0,0.0,-0.0,0.0,0.0,00:17:59
20248,51030.0,2.0,0.0,0.0,51040.0,36.0,1.0,-0.0,0.0,0.0,00:18:01
20249,51030.0,5.0,3.0,0.0,51040.0,36.0,0.0,-0.0,0.0,0.0,00:18:01
20250,51030.0,7.0,2.0,0.0,51040.0,36.0,0.0,-0.0,0.0,0.0,00:18:02
20251,51030.0,7.0,0.0,0.0,51040.0,35.0,-1.0,2.0,2.0,-2.0,00:18:02
20252,51030.0,6.0,-1.0,0.0,51040.0,35.0,0.0,2.0,2.0,-2.0,00:18:03
20253,51030.0,6.0,0.0,0.0,51040.0,35.0,0.0,2.0,2.0,-2.0,00:18:03
20254,51030.0,3.0,-3.0,0.0,51040.0,35.0,0.0,6.0,6.0,-6.0,00:18:04
20255,51020.0,67.0,0.0,0.0,51030.0,6.0,0.0,4.0,4.0,-4.0,00:18:04
20256,51020.0,65.0,-2.0,0.0,51030.0,6.0,0.0,-0.0,0.0,0.0,00:18:05
20257,51020.0,65.0,0.0,0.0,51030.0,6.0,0.0,-0.0,0.0,0.0,00:18:05
20258,51020.0,65.0,0.0,0.0,51030.0,6.0,0.0,-0.0,0.0,0.0,00:18:06
20259,51020.0,65.0,0.0,0.0,51030.0,7.0,1.0,-0.0,0.0,0.0,00:18:06
20260,51020.0,165.0,100.0,0.0,51030.0,7.0,0.0,-0.0,0.0,0.0,00:18:07
20261,51030.0,13.0,0.0,14.0,51040.0,37.0,0.0,0.0,14.0,14.0,00:18:08
20262,51030.0,13.0,0.0,0.0,51040.0,37.0,0.0,-0.0,0.0,0.0,00:18:09
20263,51030.0,11.0,-2.0,0.0,51040.0,37.0,0.0,6.0,6.0,-6.0,00:18:09
20264,51030.0,20.0,9.0,0.0,51040.0,36.0,-1.0,-0.0,0.0,0.0,00:18:10
20265,51030.0,17.0,-3.0,0.0,51040.0,36.0,0.0,6.0,6.0,-6.0,00:18:10
20266,51030.0,17.0,0.0,0.0,51040.0,34.0,-2.0,-0.0,0.0,0.0,00:18:11
20267,51030.0,18.0,1.0,0.0,51040.0,34.0,0.0,-0.0,0.0,0.0,00:18:12
20268,51030.0,18.0,0.0,0.0,51040.0,34.0,0.0,-0.0,0.0,0.0,00:18:12
20269,51030.0,17.0,-1.0,0.0,51040.0,34.0,0.0,2.0,2.0,-2.0,00:18:13
20270,51030.0,16.0,-1.0,0.0,51040.0,34.0,0.0,2.0,2.0,-2.0,00:18:14
20271,51030.0,16.0,0.0,0.0,51040.0,34.0,0.0,-0.0,0.0,0.0,00:18:15
20272,51030.0,16.0,0.0,0.0,51040.0,34.0,0.0,-0.0,0.0,0.0,00:18:15
20273,51030.0,16.0,0.0,0.0,51040.0,35.0,1.0,-0.0,0.0,0.0,00:18:16
20274,51030.0,16.0,0.0,0.0,51040.0,35.0,0.0,-0.0,0.0,0.0,00:18:17
20275,51030.0,16.0,0.0,36.0,51040.0,17.0,-18.0,-0.0,36.0,36.0,00:18:21
20276,51030.0,16.0,0.0,16.0,51040.0,9.0,-8.0,-0.0,16.0,16.0,00:18:22
20277,51030.0,16.0,0.0,0.0,51040.0,9.0,0.0,-0.0,0.0,0.0,00:18:22
20278,51030.0,22.0,6.0,4.0,51040.0,6.0,-3.0,-0.0,4.0,4.0,00:18:23
20279,51030.0,23.0,1.0,0.0,51040.0,6.0,0.0,-0.0,0.0,0.0,00:18:24
20280,51040.0,3.0,0.0,12.0,51050.0,42.0,0.0,0.0,12.0,12.0,00:18:24
